2013-10-27,Pearl,tt1259571,Twilight Saga New Moon,2009,"Kristen Stewart, Robert Pattinson, Taylor Lautner","Edward leaves Bella after an attack that nearly claimed her life, and in her depression she falls into yet another paranormal relationship- this time with werewolf Jacob Black."
2013-11-01,Pearl,tt1411238,No Strings Attached,2011,"Natalie Portman, Ashton Kutcher, Kevin Kline","A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more."
2013-11-02,Pearl,tt1424381,Predators,2010,"Adrien Brody, Laurence Fishburne, Topher Grace",A group of elite warriors are hunted by members of a merciless alien race known as Predators.
2013-11-03,Pearl,tt0429493,The A-Team,2010,"Liam Neeson, Bradley Cooper, Sharlto Copley, Quinton 'Rampage' Jackson","A group of Iraq War veterans looks to clear their name with the U.S. military, who suspect the four men of committing a crime for which they were framed."
2013-11-08,Pearl,tt0976238,Old Dogs,2009,"Robin Williams, John Travolta, Seth Green",Two friends and business partners find their lives turned upside down when strange circumstances lead to them being placed in the care of 7-year-old twins.
2013-11-09,Pearl,tt0316654,Spider-Man 2,2004,"Tobey Maguire, Kirsten Dunst, Alfred Molina",Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.
2013-11-10,Pearl,tt0449088,Pirates of the Caribbean At World's End,2007,"Johnny Depp, Orlando Bloom, Keira Knightley","Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, and make their final alliances for one last decisive battle."
2013-11-15,Pearl,tt1000774,Sex and the City,2008,"Sarah Jessica Parker, Kim Cattrall, Cynthia Nixon",A New York writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.
2013-11-16,Pearl,tt0438488,Terminator Salvation,2009,"Christian Bale, Sam Worthington, Anton Yelchin","After Skynet has destroyed much of humanity in a nuclear holocaust, a group of survivors led by John Connor struggles to keep the machines from finishing the job."
2013-11-17,Pearl,tt1298650,Pirates of the Caribbean: On Stranger Tides,2011,"Johnny Depp, Penélope Cruz, Ian McShane","Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too."
2013-11-22,Pearl,tt1261945,Sex and the City 2,2010,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis","While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie."
2013-11-23,Pearl,tt1111422,The Taking of Pelham 123,2009,"Denzel Washington, John Travolta, Luis Guzmán","Armed men hijack a New York City subway train, holding the passengers hostage in return for a ransom, and turning an ordinary day's work for dispatcher Walter Garber into a face-off with the mastermind behind the crime."
